locus_tag	ftype	length_bp	gene	EC_number	COG	product
KBOACNCO_01682	CDS	459	rplI		COG0359	50S ribosomal protein L9
KBOACNCO_01683	CDS	870				hypothetical protein
KBOACNCO_01684	CDS	1611	hpnP	2.1.1.-		Hopanoid C-2 methylase
KBOACNCO_01685	CDS	519				hypothetical protein
KBOACNCO_01686	CDS	321				hypothetical protein
KBOACNCO_01687	CDS	603				hypothetical protein
KBOACNCO_01688	CDS	630	vat	2.3.1.-		Virginiamycin A acetyltransferase
KBOACNCO_01689	CDS	231	hybG		COG0298	Hydrogenase maturation factor HybG
KBOACNCO_01690	CDS	951	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
KBOACNCO_01691	CDS	942	ctaA	1.3.-.-		Heme A synthase
KBOACNCO_01692	CDS	2484	polC	2.7.7.7		DNA polymerase III PolC-type
KBOACNCO_01693	CDS	426				hypothetical protein
KBOACNCO_01694	CDS	405				hypothetical protein
KBOACNCO_01695	CDS	285				hypothetical protein
KBOACNCO_01696	CDS	1113			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
KBOACNCO_01697	CDS	2091				hypothetical protein
KBOACNCO_01698	CDS	954				Orange carotenoid-binding protein
KBOACNCO_01699	CDS	330	frp			Fluorescence recovery protein
KBOACNCO_01700	CDS	1671	ribBA	3.5.4.25		Riboflavin biosynthesis protein RibBA
KBOACNCO_01701	CDS	732				hypothetical protein
KBOACNCO_01702	CDS	786	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
KBOACNCO_01703	CDS	747				hypothetical protein
KBOACNCO_01704	CDS	2799				hypothetical protein
KBOACNCO_01705	CDS	759				hypothetical protein
KBOACNCO_01706	CDS	555	cobN_3	6.6.1.2		Aerobic cobaltochelatase subunit CobN
KBOACNCO_01707	CDS	2253	rcsC_16	2.7.13.3		Sensor histidine kinase RcsC
KBOACNCO_01708	CDS	213				hypothetical protein
KBOACNCO_01709	CDS	522				hypothetical protein
KBOACNCO_01710	CDS	852	bepA_3	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
KBOACNCO_01711	CDS	1299	rcsC_17	2.7.13.3		Sensor histidine kinase RcsC
KBOACNCO_01712	CDS	231				hypothetical protein
KBOACNCO_01713	CDS	1080	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
KBOACNCO_01714	CDS	567				hypothetical protein
KBOACNCO_01715	CDS	2523				hypothetical protein
KBOACNCO_01716	CDS	1359	der_1		COG1160	GTPase Der
KBOACNCO_01717	CDS	1119				hypothetical protein
KBOACNCO_01718	CDS	1242	argJ			Arginine biosynthesis bifunctional protein ArgJ
KBOACNCO_01719	CDS	813				hypothetical protein
KBOACNCO_01720	CDS	1176	ce	5.1.3.11		Cellobiose 2-epimerase
KBOACNCO_01721	CDS	444				hypothetical protein
KBOACNCO_01722	CDS	1689				hypothetical protein
KBOACNCO_01723	CDS	1107	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
KBOACNCO_01724	CDS	735				hypothetical protein
KBOACNCO_01725	CDS	876	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
KBOACNCO_01726	CDS	1362	menF	5.4.4.2		Isochorismate synthase MenF
KBOACNCO_01727	CDS	831	cysZ		COG2981	Sulfate transporter CysZ
KBOACNCO_01728	CDS	1401	hemN	1.3.98.3		Oxygen-independent coproporphyrinogen III oxidase
KBOACNCO_01729	CDS	753	pbsA2	1.14.14.18		Heme oxygenase 2
KBOACNCO_01730	CDS	1077				hypothetical protein
KBOACNCO_01731	CDS	366				hypothetical protein
KBOACNCO_01732	CDS	1389	tagU_2	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
KBOACNCO_01733	CDS	177				hypothetical protein
KBOACNCO_01734	CDS	2025	rcsC_18	2.7.13.3		Sensor histidine kinase RcsC
KBOACNCO_01735	CDS	363	divK_2			Polar-differentiation response regulator DivK
KBOACNCO_01736	CDS	1812	rssB_2			Regulator of RpoS
KBOACNCO_01737	CDS	681	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
KBOACNCO_01738	CDS	1074				hypothetical protein
KBOACNCO_01739	CDS	918	rpsA_2		COG0539	30S ribosomal protein S1
KBOACNCO_01740	CDS	1908	dnaG	2.7.7.-	COG0358	DNA primase
KBOACNCO_01741	CDS	1119	psbA2_2	1.10.3.9		Photosystem II protein D1 2
KBOACNCO_01742	CDS	600	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
KBOACNCO_01743	CDS	726				hypothetical protein
KBOACNCO_01744	CDS	213				hypothetical protein
KBOACNCO_01745	CDS	567				hypothetical protein
KBOACNCO_01746	CDS	465	uspA2		COG0589	Universal stress protein A 
KBOACNCO_01747	tRNA	74				tRNA-Arg(acg)
KBOACNCO_01748	CDS	765	apaH	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
KBOACNCO_01749	CDS	516				hypothetical protein
KBOACNCO_01750	CDS	627	cbiC_1	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
KBOACNCO_01751	CDS	450				hypothetical protein
KBOACNCO_01752	CDS	138				hypothetical protein
KBOACNCO_01753	CDS	375	rnpA	3.1.26.5		Ribonuclease P protein component
KBOACNCO_01754	CDS	396				hypothetical protein
KBOACNCO_01755	CDS	1155	yidC			Membrane protein insertase YidC
KBOACNCO_01756	CDS	495				hypothetical protein
KBOACNCO_01757	CDS	945	dnaJ_3			Chaperone protein DnaJ
KBOACNCO_01758	CDS	864	suhB_1	3.1.3.25	COG0483	Inositol-1-monophosphatase
KBOACNCO_01759	CDS	369				Ferredoxin-1
KBOACNCO_01760	tRNA	89				tRNA-Ser(gga)
KBOACNCO_01761	CDS	810				hypothetical protein
KBOACNCO_01762	CDS	414				hypothetical protein
KBOACNCO_01763	CDS	645				hypothetical protein
KBOACNCO_01764	CDS	996	pyrB	2.1.3.2		Aspartate carbamoyltransferase
KBOACNCO_01765	tRNA	92				tRNA-Ser(gct)
KBOACNCO_01766	CDS	903				hypothetical protein
KBOACNCO_01767	CDS	1440		2.4.1.336		Beta-monoglucosyldiacylglycerol synthase
KBOACNCO_01768	CDS	954				hypothetical protein
KBOACNCO_01769	CDS	1227	MgdE	5.1.3.34		Monoglucosyldiacylglycerol epimerase
KBOACNCO_01770	CDS	1635				hypothetical protein
KBOACNCO_01771	CDS	141				hypothetical protein
KBOACNCO_01772	CDS	552				hypothetical protein
KBOACNCO_01773	CDS	828				hypothetical protein
KBOACNCO_01774	CDS	699			COG0664	Cyclic AMP receptor protein
KBOACNCO_01775	CDS	1071	algA_1		COG0662	Alginate biosynthesis protein AlgA
KBOACNCO_01776	CDS	1293				hypothetical protein
KBOACNCO_01777	CDS	402	petC_3	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
KBOACNCO_01778	CDS	1752				hypothetical protein
KBOACNCO_01779	CDS	3036	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KBOACNCO_01780	CDS	1881	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
KBOACNCO_01781	CDS	1848	novN	2.1.3.12		Decarbamoylnovobiocin carbamoyltransferase
KBOACNCO_01782	CDS	558				hypothetical protein
KBOACNCO_01783	CDS	1182	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
KBOACNCO_01784	CDS	1557	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
KBOACNCO_01785	CDS	1581				hypothetical protein
KBOACNCO_01786	CDS	741	tagA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
KBOACNCO_01787	CDS	765				hypothetical protein
KBOACNCO_01788	CDS	441				hypothetical protein
KBOACNCO_01789	CDS	1104				hypothetical protein
KBOACNCO_01790	CDS	855				hypothetical protein
KBOACNCO_01791	CDS	828				hypothetical protein
KBOACNCO_01792	CDS	2343	sctC			Type 3 secretion system secretin
KBOACNCO_01793	CDS	825				hypothetical protein
KBOACNCO_01794	CDS	735				hypothetical protein
KBOACNCO_01795	CDS	993	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
KBOACNCO_01796	CDS	1125	thrC	4.2.3.1	COG0498	Threonine synthase
KBOACNCO_01797	CDS	363	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
KBOACNCO_01798	CDS	747	ndhK1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K 1
KBOACNCO_01799	CDS	540	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J
KBOACNCO_01800	CDS	360				hypothetical protein
KBOACNCO_01801	CDS	474				IS630 family transposase ISMae21
KBOACNCO_01802	CDS	1584				hypothetical protein
KBOACNCO_01803	CDS	717				hypothetical protein
KBOACNCO_01804	CDS	1395	sasA_10	2.7.-.-		Adaptive-response sensory-kinase SasA
KBOACNCO_01805	CDS	1296	dap	3.4.11.19		D-aminopeptidase
KBOACNCO_01806	CDS	189				hypothetical protein
KBOACNCO_01807	CDS	1047				hypothetical protein
KBOACNCO_01808	CDS	558				hypothetical protein
KBOACNCO_01809	CDS	1104			COG0628	Putative transport protein
KBOACNCO_01810	CDS	381				hypothetical protein
KBOACNCO_01811	CDS	963				hypothetical protein
KBOACNCO_01812	CDS	603	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
KBOACNCO_01813	CDS	1659	pyrG	6.3.4.2		CTP synthase
KBOACNCO_01814	CDS	246				hypothetical protein
KBOACNCO_01815	CDS	348				hypothetical protein
KBOACNCO_01816	CDS	2508	norR			Anaerobic nitric oxide reductase transcription regulator NorR
KBOACNCO_01817	CDS	1080	desA_2	1.14.19.6		Delta(12)-fatty-acid desaturase
KBOACNCO_01818	CDS	693	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
KBOACNCO_01819	CDS	843				hypothetical protein
KBOACNCO_01820	CDS	804				hypothetical protein
KBOACNCO_01821	CDS	249				hypothetical protein
KBOACNCO_01822	CDS	1449	ffh		COG0541	Signal recognition particle protein
KBOACNCO_01823	CDS	495				IS630 family transposase ISTcSa
KBOACNCO_01824	CDS	360				hypothetical protein
KBOACNCO_01825	CDS	1488	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
KBOACNCO_01826	CDS	1953	pbpG		COG0744	Penicillin-binding protein 2D
KBOACNCO_01827	CDS	1575	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
KBOACNCO_01828	CDS	858	ureG_2			Urease accessory protein UreG
KBOACNCO_01829	CDS	348				hypothetical protein
KBOACNCO_01830	CDS	906	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
KBOACNCO_01831	CDS	906				hypothetical protein
KBOACNCO_01832	CDS	192				hypothetical protein
KBOACNCO_01833	CDS	819	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
KBOACNCO_01834	CDS	1338	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
KBOACNCO_01835	CDS	540				hypothetical protein
KBOACNCO_01836	CDS	318	rpsJ			30S ribosomal protein S10
KBOACNCO_01837	CDS	1200	tuf			Elongation factor Tu
KBOACNCO_01838	CDS	2076	fusA_1		COG0480	Elongation factor G
KBOACNCO_01839	CDS	471	rpsG			30S ribosomal protein S7
KBOACNCO_01840	CDS	381	rpsL			30S ribosomal protein S12
KBOACNCO_01841	CDS	636				hypothetical protein
KBOACNCO_01842	CDS	1260	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
KBOACNCO_01843	CDS	615				hypothetical protein
KBOACNCO_01844	CDS	351	lacB	5.3.1.26		Galactose-6-phosphate isomerase subunit LacB
KBOACNCO_01845	CDS	249				hypothetical protein
KBOACNCO_01846	CDS	273				hypothetical protein
KBOACNCO_01847	CDS	120				hypothetical protein
KBOACNCO_01848	CDS	600				hypothetical protein
KBOACNCO_01849	CDS	945				hypothetical protein
KBOACNCO_01850	CDS	1671				hypothetical protein
KBOACNCO_01851	CDS	297				hypothetical protein
KBOACNCO_01852	CDS	2304	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
KBOACNCO_01853	CDS	1173	sat	2.7.7.4	COG2046	Sulfate adenylyltransferase
KBOACNCO_01854	CDS	1065	mshA_9	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_01855	CDS	387				hypothetical protein
KBOACNCO_01856	CDS	207				hypothetical protein
KBOACNCO_01857	CDS	132				hypothetical protein
KBOACNCO_01858	CDS	1224				hypothetical protein
KBOACNCO_01859	CDS	1158	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
KBOACNCO_01860	CDS	312				hypothetical protein
KBOACNCO_01861	CDS	837				hypothetical protein
KBOACNCO_01862	CDS	309				hypothetical protein
KBOACNCO_01863	CDS	510	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
KBOACNCO_01864	CDS	261				hypothetical protein
KBOACNCO_01865	CDS	642				hypothetical protein
KBOACNCO_01866	CDS	1539	sglT			Sodium/glucose cotransporter
KBOACNCO_01867	CDS	468				hypothetical protein
KBOACNCO_01868	CDS	1392				hypothetical protein
KBOACNCO_01869	CDS	177				hypothetical protein
KBOACNCO_01870	CDS	789				hypothetical protein
KBOACNCO_01871	CDS	1662	eryB	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
KBOACNCO_01872	CDS	1500	ggpS	2.4.1.213		Glucosylglycerol-phosphate synthase
KBOACNCO_01873	CDS	2658				hypothetical protein
KBOACNCO_01874	CDS	1488	glpK	2.7.1.30	COG0554	Glycerol kinase
KBOACNCO_01875	CDS	825	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
KBOACNCO_01876	CDS	351				hypothetical protein
KBOACNCO_01877	CDS	342	hypA_2		COG0375	Hydrogenase maturation factor HypA
KBOACNCO_01878	CDS	492				hypothetical protein
KBOACNCO_01879	CDS	1293	lpxB_1	2.4.1.182		Lipid-A-disaccharide synthase
KBOACNCO_01880	CDS	375	rplU		COG0261	50S ribosomal protein L21
KBOACNCO_01881	CDS	264	rpmA			50S ribosomal protein L27
KBOACNCO_01882	CDS	744	ddpX	3.4.13.22		D-alanyl-D-alanine dipeptidase
KBOACNCO_01883	CDS	1644	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
KBOACNCO_01884	CDS	162				hypothetical protein
KBOACNCO_01885	CDS	252				hypothetical protein
KBOACNCO_01886	CDS	180				hypothetical protein
KBOACNCO_01887	CDS	2781				hypothetical protein
KBOACNCO_01888	CDS	465				hypothetical protein
KBOACNCO_01889	CDS	2973	rocA	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
KBOACNCO_01890	CDS	963				hypothetical protein
KBOACNCO_01891	CDS	408				IS701 family transposase ISAcma24
KBOACNCO_01892	CDS	1017			COG3385	IS4 family transposase IS4Sa
KBOACNCO_01893	CDS	396				IS701 family transposase ISNpu6
KBOACNCO_01894	CDS	453				IS701 family transposase ISNpu5
KBOACNCO_01895	CDS	1155		1.12.-.-		Soluble hydrogenase 42 kDa subunit
KBOACNCO_01896	CDS	426				hypothetical protein
KBOACNCO_01897	CDS	300				hypothetical protein
KBOACNCO_01898	CDS	702				hypothetical protein
KBOACNCO_01899	CDS	1167	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
KBOACNCO_01900	CDS	909	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
KBOACNCO_01901	CDS	1050	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
KBOACNCO_01902	CDS	1107	rcsC_19	2.7.13.3		Sensor histidine kinase RcsC
KBOACNCO_01903	CDS	225	psaE			Photosystem I reaction center subunit IV
KBOACNCO_01904	CDS	864	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
KBOACNCO_01905	CDS	720				hypothetical protein
KBOACNCO_01906	CDS	1677	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
KBOACNCO_01907	CDS	999				hypothetical protein
KBOACNCO_01908	CDS	1143				hypothetical protein
KBOACNCO_01909	CDS	453				hypothetical protein
KBOACNCO_01910	CDS	2433	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
KBOACNCO_01911	CDS	1725	spkB	2.7.11.1		Serine/threonine-protein kinase B
KBOACNCO_01912	CDS	669	degU_3		COG2197	Transcriptional regulatory protein DegU
KBOACNCO_01913	CDS	3105	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
KBOACNCO_01914	CDS	294				hypothetical protein
KBOACNCO_01915	CDS	459				hypothetical protein
KBOACNCO_01916	CDS	855	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
KBOACNCO_01917	CDS	1254				hypothetical protein
KBOACNCO_01918	CDS	1380	murT	6.3.5.13		Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
KBOACNCO_01919	CDS	654	cbiC_2	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
KBOACNCO_01920	CDS	1575		3.4.24.-	COG0612	putative zinc protease
KBOACNCO_01921	CDS	1470	pds_2	1.3.5.5	COG3349	15-cis-phytoene desaturase
KBOACNCO_01922	CDS	444				hypothetical protein
KBOACNCO_01923	CDS	957		1.1.1.184		Aldo/keto reductase
KBOACNCO_01924	CDS	900	fda	4.1.2.13	COG3588	Fructose-bisphosphate aldolase class 1
KBOACNCO_01925	CDS	1131				hypothetical protein
KBOACNCO_01926	CDS	1152	acr3		COG0798	Arsenical-resistance protein Acr3
KBOACNCO_01927	CDS	621	arsH	1.6.5.2		NADPH-dependent quinone reductase ArsH
KBOACNCO_01928	CDS	384	arsC	1.20.4.1		Glutaredoxin arsenate reductase
KBOACNCO_01929	CDS	732	walR_2		COG0745	Transcriptional regulatory protein WalR
KBOACNCO_01930	CDS	648				hypothetical protein
KBOACNCO_01931	CDS	591				hypothetical protein
KBOACNCO_01932	CDS	1911	ettA		COG0488	Energy-dependent translational throttle protein EttA
KBOACNCO_01933	CDS	861	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
KBOACNCO_01934	CDS	825	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
KBOACNCO_01935	CDS	387				hypothetical protein
KBOACNCO_01936	CDS	1092	ycf3_4			Photosystem I assembly protein Ycf3
KBOACNCO_01937	CDS	687				hypothetical protein
KBOACNCO_01938	CDS	693	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
KBOACNCO_01939	CDS	1044	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
KBOACNCO_01940	CDS	735	mfppA	3.1.3.79	COG0561	Mannosylfructose-phosphate phosphatase
KBOACNCO_01941	CDS	402				hypothetical protein
KBOACNCO_01942	CDS	432	mrnC	3.1.26.-		Mini-ribonuclease 3
KBOACNCO_01943	CDS	1155	rlmB_2	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
KBOACNCO_01944	CDS	261				hypothetical protein
KBOACNCO_01945	CDS	1452	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
KBOACNCO_01946	CDS	588		3.6.1.9	COG0424	Nucleoside triphosphate pyrophosphatase
KBOACNCO_01947	CDS	1590				hypothetical protein
KBOACNCO_01948	CDS	441				hypothetical protein
KBOACNCO_01949	CDS	1473		1.13.11.75		Apocarotenoid-15,15'-oxygenase
KBOACNCO_01950	CDS	288	clpS_2			ATP-dependent Clp protease adapter protein ClpS
KBOACNCO_01951	CDS	1173	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
KBOACNCO_01952	CDS	642	ppa	3.6.1.1		Inorganic pyrophosphatase
KBOACNCO_01953	CDS	366	ndhM	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit M
KBOACNCO_01954	CDS	1377				hypothetical protein
KBOACNCO_01955	CDS	1617	nagZ	3.2.1.52		Beta-hexosaminidase
KBOACNCO_01956	CDS	420	rppH	3.6.1.-		RNA pyrophosphohydrolase
KBOACNCO_01957	CDS	453				hypothetical protein
KBOACNCO_01958	CDS	612				hypothetical protein
KBOACNCO_01959	CDS	1179	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
KBOACNCO_01960	CDS	405				hypothetical protein
KBOACNCO_01961	CDS	984	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
KBOACNCO_01962	CDS	732				hypothetical protein
KBOACNCO_01963	CDS	1137	mshA_10	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_01964	CDS	1287				hypothetical protein
KBOACNCO_01965	CDS	345				hypothetical protein
KBOACNCO_01966	CDS	636				hypothetical protein
KBOACNCO_01967	CDS	231	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
KBOACNCO_01968	CDS	387				hypothetical protein
KBOACNCO_01969	tRNA	74				tRNA-His(gtg)
KBOACNCO_01970	CDS	324				hypothetical protein
KBOACNCO_01971	CDS	465	smpB		COG0691	SsrA-binding protein
KBOACNCO_01972	CDS	1827				hypothetical protein
KBOACNCO_01973	CDS	1161				hypothetical protein
KBOACNCO_01974	CDS	2991	mshA_11	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_01975	CDS	3507				hypothetical protein
KBOACNCO_01976	CDS	1521			COG0500	putative protein RP789
KBOACNCO_01977	CDS	2619	clpB1_1		COG0542	Chaperone protein ClpB 1
KBOACNCO_01978	CDS	297				hypothetical protein
KBOACNCO_01979	CDS	999	prk	2.7.1.19		Phosphoribulokinase
KBOACNCO_01980	CDS	1242	petH	1.18.1.2		Ferredoxin--NADP reductase
KBOACNCO_01981	CDS	840	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
KBOACNCO_01982	CDS	819				hypothetical protein
KBOACNCO_01983	CDS	405				Photosystem II lipoprotein Psb27
KBOACNCO_01984	CDS	696	rnc_1	3.1.26.3	COG0571	Ribonuclease 3
KBOACNCO_01985	CDS	780	fetB		COG0390	putative iron export permease protein FetB
KBOACNCO_01986	CDS	1443		1.13.11.75		Apocarotenoid-15,15'-oxygenase
KBOACNCO_01987	CDS	264	yefM_1		COG2161	Antitoxin YefM
KBOACNCO_01988	CDS	261	yoeB_2	3.1.-.-	COG4115	Toxin YoeB
KBOACNCO_01989	CDS	591	cpcT1	4.-.-.-		Phycocyanobilin lyase CpcT
KBOACNCO_01990	CDS	540	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
KBOACNCO_01991	CDS	1722	dfa3_2	1.-.-.-		Putative diflavin flavoprotein A 3
KBOACNCO_01992	CDS	1755	recN		COG0497	DNA repair protein RecN
KBOACNCO_01993	CDS	1836				hypothetical protein
KBOACNCO_01994	CDS	1053				hypothetical protein
KBOACNCO_01995	CDS	228				hypothetical protein
KBOACNCO_01996	CDS	279				hypothetical protein
KBOACNCO_01997	CDS	285				hypothetical protein
KBOACNCO_01998	CDS	207				hypothetical protein
KBOACNCO_01999	CDS	240				hypothetical protein
KBOACNCO_02000	CDS	285	yefM_2		COG2161	Antitoxin YefM
KBOACNCO_02001	CDS	825	psbO			Photosystem II manganese-stabilizing polypeptide
KBOACNCO_02002	CDS	327				hypothetical protein
KBOACNCO_02003	tRNA	72				tRNA-Gln(ttg)
KBOACNCO_02004	CDS	363				hypothetical protein
KBOACNCO_02005	CDS	1344	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
KBOACNCO_02006	CDS	1605				hypothetical protein
KBOACNCO_02007	CDS	468				hypothetical protein
KBOACNCO_02008	tRNA	72				tRNA-Asn(gtt)
KBOACNCO_02009	CDS	939		3.4.19.5		Isoaspartyl peptidase/L-asparaginase
KBOACNCO_02010	CDS	1296	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
KBOACNCO_02011	CDS	588				hypothetical protein
KBOACNCO_02012	CDS	309	ureB1	3.5.1.5		Urease subunit beta 1
KBOACNCO_02013	CDS	465				hypothetical protein
KBOACNCO_02014	CDS	957		2.1.1.295		2-methyl-6-phytyl-1,4-hydroquinone methyltransferase
KBOACNCO_02015	CDS	960				hypothetical protein
KBOACNCO_02016	CDS	1341	amiC_2			Aliphatic amidase expression-regulating protein
KBOACNCO_02017	CDS	1518	radA	3.6.4.-	COG1066	DNA repair protein RadA
KBOACNCO_02018	CDS	585				Pentapeptide repeat protein Rfr32
KBOACNCO_02019	CDS	1623	nhaS2			Na(+)/H(+) antiporter NhaS2
KBOACNCO_02020	CDS	474				hypothetical protein
KBOACNCO_02021	CDS	828	nusB			Transcription antitermination protein NusB
KBOACNCO_02022	CDS	1833				hypothetical protein
KBOACNCO_02023	CDS	2496	priA	3.6.4.-	COG1198	Primosomal protein N'
KBOACNCO_02024	CDS	414				hypothetical protein
KBOACNCO_02025	CDS	348				hypothetical protein
KBOACNCO_02026	CDS	4728				hypothetical protein
KBOACNCO_02027	CDS	1230				hypothetical protein
KBOACNCO_02028	CDS	906				hypothetical protein
KBOACNCO_02029	CDS	1089				hypothetical protein
KBOACNCO_02030	CDS	720				hypothetical protein
KBOACNCO_02031	CDS	1080				hypothetical protein
KBOACNCO_02032	CDS	1707				hypothetical protein
KBOACNCO_02033	CDS	351				hypothetical protein
KBOACNCO_02034	CDS	852				hypothetical protein
KBOACNCO_02035	CDS	1281				hypothetical protein
KBOACNCO_02036	CDS	1347				hypothetical protein
KBOACNCO_02037	CDS	249	rpsP		COG0228	30S ribosomal protein S16
KBOACNCO_02038	CDS	357				hypothetical protein
KBOACNCO_02039	CDS	2175	glnA_2	6.3.1.2		Glutamine synthetase
KBOACNCO_02040	CDS	435				hypothetical protein
KBOACNCO_02041	CDS	483	psbV			Cytochrome c-550
KBOACNCO_02042	CDS	201				hypothetical protein
KBOACNCO_02043	CDS	831				hypothetical protein
KBOACNCO_02044	CDS	474				hypothetical protein
KBOACNCO_02045	CDS	2952	gcvP	1.4.4.2		Glycine dehydrogenase (decarboxylating)
KBOACNCO_02046	CDS	480				hypothetical protein
KBOACNCO_02047	CDS	390				hypothetical protein
KBOACNCO_02048	CDS	366				hypothetical protein
KBOACNCO_02049	CDS	126				hypothetical protein
KBOACNCO_02050	CDS	405				hypothetical protein
KBOACNCO_02051	CDS	1203	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
KBOACNCO_02052	CDS	930	gltC			HTH-type transcriptional regulator GltC
KBOACNCO_02053	CDS	2634	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
KBOACNCO_02054	CDS	420				hypothetical protein
KBOACNCO_02055	CDS	834				hypothetical protein
KBOACNCO_02056	CDS	468				hypothetical protein
KBOACNCO_02057	CDS	576				hypothetical protein
KBOACNCO_02058	CDS	474				hypothetical protein
KBOACNCO_02059	CDS	981				hypothetical protein
KBOACNCO_02060	CDS	918	nadK_2	2.7.1.23		NAD kinase
KBOACNCO_02061	CDS	1155				hypothetical protein
KBOACNCO_02062	tRNA	72				tRNA-Thr(tgt)
KBOACNCO_02063	CDS	585		3.6.1.66		dITP/XTP pyrophosphatase
KBOACNCO_02064	CDS	339	glnB			Nitrogen regulatory protein P-II
KBOACNCO_02065	CDS	1002				hypothetical protein
KBOACNCO_02066	CDS	96				hypothetical protein
KBOACNCO_02067	CDS	294				hypothetical protein
KBOACNCO_02068	CDS	657	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
KBOACNCO_02069	CDS	993				hypothetical protein
